name,link,price,kraj,region,apelacja,winnica,rodzaj wina,smak,styl,grona,pojemność,temperatura podawania,wysyłka w ciągu,rocznik,rocznik2,zawartość alkoholu,producent,medale,medale2,grona2,grona3,grona4,czy winnica bio,bio,grona5,grona6,grona7,bio2,wino wegańskie,oceny prasy,wine spectator,rodzaj wina2,zawartość alkoholu2,falstaff,bio3,grona8,guia penin,james suckling,medale3,alkohol zawartość,objętość,rocznik3,temperatura podawania2,wino koszerne,region2,ilość win,grona9,grona10,grona11,grona12,grona13
Alamos Malbec Uco Valley 2021,https://www.wina.pl/wina-czerwone-wytrawne/2638-alamos-malbec-uco-valley.html,"71,00 zł",Argentyna,,,Bodegas Catena Zapata,czerwone,wytrawne,średnie,Malbec,750 ml,16-18 st.C,3 dni ( dni robocze ),2021,,,,,,,,,,,,,,,,Robert Parker 90,,,,,,,,,,,,,,,,,,,,,
Alamos Torrontes Cafayate 2020,https://www.wina.pl/wina-biale-wytrawne/2639-alamos-torrontes-cafayate.html,"71,00 zł",Argentyna,Cafayate,,Bodegas Catena Zapata,białe,wytrawne,,Torrontes,750 ml,10-12 st.C,3 dni ( dni robocze ),2020,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alargo Assyrtiko Crete PGI 2020,https://www.wina.pl/wina-biale-wytrawne/2811-alargo-assyrtiko-crete-pgi.html,"114,00 zł",Grecja,Kreta,Crete PGI,Douloufakis,białe,wytrawne,średnie,Assyrtiko,750 ml,10 st.C,3 dni ( dni robocze ),2020,,"14,4%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alazani Valley Kakhuri Red,https://www.wina.pl/wina-czerwone-polslodkie/1939-alazani-valley-kakhuri-red.html,"39,00 zł",Gruzja,Kachetia,,Kakhuri,czerwone,półsłodkie,średnie,Saperavi,750 ml,16 st.C,24 h ( w dni robocze ),,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alazani Valley Kakhuri White,https://www.wina.pl/wina-biale-polslodkie/2848-alazani-valley-kakhuri-white.html,"35,00 zł",Gruzja,Kachetia,,Kakhuri,białe,półsłodkie,średnie,Mtswane,750 ml,10-12 st.C,24 h ( w dni robocze ),,,11%,,,,Rkatsiteli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albarino Vionta 2020,https://www.wina.pl/wina-biale-wytrawne/1729-albarino-vionta-.html,"65,00 zł",Hiszpania,Galicja,Rias Baixas DO,,białe,wytrawne,średnie,Albarino,750 ml,10 st.C,,2020,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Chablis blanc 2021,https://www.wina.pl/wina/1838-albert-bichot-chablis-blanc.html,"209,00 zł",Francja,Burgundia,Chablis AOC,,białe,wytrawne,,Chardonnay,750 ml,8-10 st.C,3 dni ( dni robocze ),2021,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Chardonnay Horizon de Bichot VdF Limoux 2021,https://www.wina.pl/wina-biale-wytrawne/3739-albert-bichot-chardonnay-horizon-de-bichot-vdf-limoux.html,"89,00 zł",Francja,Langwedocja (Languedoc),,,białe,wytrawne,średnie,Chardonnay,750 ml,10 st.C,3 dni ( dni robocze ),2021,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Chardonnay Secret de Famille Bourgogne AOC 2020,https://www.wina.pl/wina-biale-wytrawne/3737-albert-bichot-chardonnay-secret-de-famille-bourgogne-aoc.html,"179,00 zł",Francja,Burgundia,Bourgogne AOC,,białe,wytrawne,średnie,Chardonnay,750 ml,10 st.C,3 dni ( dni robocze ),2020,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Chassagne-Montrachet Rouge AOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3733-albert-bichot-chassagne-montrachet-rouge-aoc.html,"299,00 zł",Francja,Burgundia,Chassagne-Montrachet AOC,,czerwone,wytrawne,średnie,Pinot Noir,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Petit Chablis AOC 2021,https://www.wina.pl/wina-biale-wytrawne/3738-albert-bichot-petit-chablis-aoc.html,"189,00 zł",Francja,Burgundia,Petit Chablis AOC,,białe,wytrawne,średnie,Chardonnay,750 ml,10 st.C,3 dni ( dni robocze ),2021,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Vieilles Vignes de Chardonnay Bourgogne AOC 2020,https://www.wina.pl/wina-biale-wytrawne/3736-albert-bichot-vieilles-vignes-de-chardonnay-bourgogne-aoc.html,"159,00 zł",Francja,Burgundia,Bourgogne AOC,,białe,wytrawne,średnie,Chardonnay,750 ml,10 st.C,3 dni ( dni robocze ),2020,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bichot Vieilles Vignes de Pinot Noir Bourgogne AOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3735-albert-bichot-vieilles-vignes-de-pinot-noir-bourgogne-aoc.html,"165,00 zł",Francja,Burgundia,Bourgogne AOC,,czerwone,wytrawne,średnie,Pinot Noir,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Anguissola Casè Pinot Nero Emilia IGT 2018,https://www.wina.pl/naturalne/3390-alberto-anguissola-case-pinot-nero-emilia-igt.html,"139,00 zł",Włochy,Emiglia Romana,Emilia IGT,,czerwone,wytrawne,lekkie,Pinot Nero,,,24 h ( w dni robocze ),2018,,12.5%,,,,,,,,weganskie,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Alberto Anguissola Casèbianco Emilia IGT 2021,https://www.wina.pl/naturalne/3392-alberto-anguissola-casebianco-emilia-igt.html,"144,00 zł",Włochy,Emiglia Romana,Emilia IGT,,pomarańczowe,wytrawne,lekkie,Malvasia di Candia Aromatica,,,24 h ( w dni robocze ),2021,,11.5%,,,,Ortugo,Sauvignon Blanc,Marsanne,,weganskie,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Alberto Anguissola Riva del Ciliegio Emilia IGT 2016,https://www.wina.pl/naturalne/3391-alberto-anguissola-riva-del-ciliegio-emilia-igt.html,"155,00 zł",Włochy,Emiglia Romana,Emilia IGT,,czerwone,wytrawne,średnie,Pinot Nero,,,24 h ( w dni robocze ),2016,,12.5%,,,,,,,,weganskie,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Aldo Viola Biancoviola Bianco IGP Terre Siciliane 2021,https://www.wina.pl/naturalne/4067-aldo-viola-biancoviola-bianco-igp-terre-siciliane.html,"155,00 zł",Włochy,Sycylia,Terre Siciliane IGT,,białe,wytrawne,średnie,Grecanico,750 ml,10-12 st.C,24 h ( w dni robocze ),2021,,13%,,,,Catarratto,Grillo,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldo Viola Brutto IGP Terre Siciliane 2021,https://www.wina.pl/naturalne/4070-aldo-viola-brutto-igp-terre-siciliane.html,"154,00 zł",Włochy,Sycylia,Terre Siciliane IGT,,musujące,wytrawne,lekkie,Catarratto,750 ml,8 st.C,24 h ( w dni robocze ),2021,,12%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldo Viola Coccinella Syrah IGP Terre Siciliane 2021,https://www.wina.pl/naturalne/4071-aldo-viola-coccinella-syrah-igp-terre-siciliane.html,"149,00 zł",Włochy,Sycylia,Terre Siciliane IGT,,czerwone,wytrawne,średnie,Shiraz / Syrah,750 ml,16 st.C,24 h ( w dni robocze ),2021,,13%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldo Viola Egesta IGP Terre Siciliane 2019,https://www.wina.pl/naturalne/4069-aldo-viola-egesta-igp-terre-siciliane.html,"199,00 zł",Włochy,Sycylia,Terre Siciliane IGT,,pomarańczowe,wytrawne,średnie,Grillo,750 ml,12 st.C,24 h ( w dni robocze ),2019,,13.5%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldo Viola Krimiso IGP Terre Siciliane 2019,https://www.wina.pl/naturalne/4068-aldo-viola-krimiso-igp-terre-siciliane.html,"195,00 zł",Włochy,Sycylia,Terre Siciliane IGT,,pomarańczowe,wytrawne,średnie,Catarratto,750 ml,12 st.C,24 h ( w dni robocze ),2019,,12.5%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandra Divella Blanc De Blancs Zero NV NV,https://www.wina.pl/naturalne/4173-alessandra-divella-blanc-de-blancs-zero-nv.html,"249,00 zł",Włochy,Lombardia,,,musujące,wytrawne,średnie,Chardonnay,750 ml,9 st.C,3 dni ( dni robocze ),NV,,12%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandra Divella Clo Clo Rosé Zero NV NV,https://www.wina.pl/naturalne/4174-alessandra-divella-clo-clo-rose-zero-nv.html,"359,00 zł",Włochy,Lombardia,,,różowe,wytrawne,średnie,Pinot Noir,750 ml,9 st.C,3 dni ( dni robocze ),NV,,12%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,musujące,,,,,,,,,,,,,,,,,,,
Alheit Cartology Bio 2019,https://www.wina.pl/naturalne/2877-alheit-cartology-bio.html,"211,00 zł",RPA,Western Cape,,Alheit Vineyards,białe,wytrawne,średnie,Chenin Blanc,750 ml,12 st.C,3 dni ( dni robocze ),2019,,"13,36%",,,,Semillon,,,,naturalne,,,,weganskie,,,,,,,,,,,,,,,,,,,,,,,
Alheit Magnetic North Bio 2020,https://www.wina.pl/naturalne/2879-alheit-magnetic-north-bio.html,"389,00 zł",RPA,Western Cape,,Alheit Vineyards,białe,wytrawne,średnie,Chenin Blanc,750 ml,12 st.C,3 dni ( dni robocze ),2020,,"13,36%",,,,,,,,naturalne,,,,weganskie,,,,,,,,,,,,,,,,,,,,,,,
Alheit Nautical Dawn Bio 2020,https://www.wina.pl/naturalne/2882-alheit-nautical-dawn-bio.html,"227,00 zł",RPA,Stellenbosch,,Alheit Vineyards,białe,wytrawne,lekkie,Chenin Blanc,750 ml,12 st.C,3 dni ( dni robocze ),2020,,13%,,,,,,,,naturalne,,,,weganskie,,,,,"13,45%",,,,,,,,,,,,,,,,,,
